country_code,RML,RML_SE
AU,0.138,0.056
BR,0.203,0.052
CA,0.175,0.052
CL,0.109,0.055
CO,0.199,0.05
DE,-0.011,0.054
EE,-0.024,0.051
EG,-0.194,0.064
ES,0.128,0.053
FR,0.213,0.051
GB,0.044,0.056
HK,-0.338,0.053
HU,-0.387,0.062
IL,0.088,0.057
JO,-0.341,0.059
JP,-0.414,0.051
KR,-0.007,0.059
LB,-0.163,0.061
LY,-0.255,0.055
MA,-0.139,0.059
MU,0.059,0.053
MX,0.359,0.051
MY,-0.39,0.055
NL,0.197,0.051
NZ,0.083,0.051
PH,-0.083,0.056
PL,0.05,0.053
PR,0.308,0.061
PS,-0.269,0.055
PT,0,0.001
SE,0.171,0.054
SG,-0.137,0.056
TN,-0.222,0.056
TR,-0.06,0.055
TT,0.164,0.051
TW,-0.294,0.055
UA,0.053,0.046
US,0.182,0.057
VE,0.226,0.05
